pos,neu,neg
0.00067,0.00032,0.00014
0.0002,7.00E-05,1.00E-04
0.00023,0.0004,4.00E-05
0.00015,0.00018,3.00E-05
0.00054,0.00097,0.00011
0.00018,0.00029,7.00E-05
0.00025,0.00023,0.0004
3.00E-05,0.00012,0.0004
0.0002,7.00E-05,1.40E-04
1.00E-05,1.00E-05,4.00E-05
3.00E-05,7.00E-05,1.10E-04
0.00022,0.00062,5.00E-05
0.00045,0.00014,0.00015
0.0002,5.00E-05,0.00E+00
6.00E-05,0.00014,0.00019
5.00E-05,0.00014,0.00018
0.00013,3.00E-05,1.30E-04
0.00014,6.00E-05,4.30E-04
0.00011,4.00E-05,3.00E-04
0.00011,0.0002,2.00E-05
0.00017,0.00029,0.00025
6.00E-05,0.00026,1.00E-04
0.00015,0.00011,9.00E-05
5.00E-05,0.00011,0.00022
0.00035,0.00013,0.00026
0.00016,0.00015,7.00E-05
0.00057,0.00026,0.00068
8.00E-05,0.00016,0.00053
8.00E-05,0.00015,0.00174
4.00E-05,8.00E-05,1.80E-04
9.00E-05,0.00022,0.00014
5.00E-05,0.00022,0.00018
0.00024,0.00014,0.00017
0.00048,5.00E-05,9.00E-05
0.00014,0.00019,0.0002
0.00014,0.00022,0.00014
0.00021,0.00012,4.00E-05
0.00025,5.00E-05,2.00E-05
0.00012,1.00E-04,4.00E-04
0.00012,1.00E-04,9.00E-05
0.00018,0.00016,0.00011
4.00E-05,0.00022,1.00E-04
1.00E-04,1.00E-04,8.00E-05
0.00011,1.00E-04,1.10E-04
None,0.00018,1.00E-05
None,0.00019,4.00E-05
None,0.00019,3.00E-05
None,5.00E-05,1.20E-04
None,1.00E-04,2.10E-04
None,2.00E-05,2.00E-05
None,0.00012,6.00E-05
None,1.00E-04,4.50E-04
None,0.00011,0.00087
None,0.00028,0.00014
None,0.00035,0.00069
None,0.00012,0.00034
None,0.0004,0.00017
None,0.00027,0.0002
None,0.00112,5.00E-05
None,0.00025,1.00E-05
None,0.00018,0.00011
None,1.00E-04,5.00E-05
None,1.00E-04,1.00E-05
None,0.00011,0.00016
None,0.00036,0.00028
0.00043,1.00E-05,1.80E-04
0.0002,0.00018,0.00029
0.00019,0.00013,1.00E-05
1.00E-05,0.00028,4.00E-05
0,0.00015,0.00013
5.00E-05,0.00023,0.00034
4.00E-05,0.00016,0.00028
0.00017,0.00039,0.00011
1.00E-05,0.0004,5.00E-05
0.0006,6.00E-05,3.60E-04
0.00018,0.00022,6.00E-05
0.00015,0.00063,3.00E-05
0.00021,3.00E-05,1.40E-04
9.00E-05,9.00E-05,0.00E+00
0.00026,0.00016,5.00E-05
0,0.00015,6.00E-05
0.00052,0.00011,0.00018
1.00E-05,8.00E-05,8.00E-05
3.00E-05,5.00E-05,7.00E-05
7.00E-05,5.00E-05,1.00E-04
8.00E-05,0.00017,0.00021
2.00E-05,0.0003,0.00011
0,1.00E-04,6.00E-05
9.00E-05,1.00E-04,8.00E-05
0.00011,0.00011,0.00041
0.00014,4.00E-05,0.00E+00
9.00E-05,0.00017,0.00011
0.00014,0.00066,0.00015
3.00E-05,0.00026,1.00E-04
0.00012,0.00013,2.00E-05
0,0.00016,7.00E-05
5.00E-05,0.00017,8.00E-05
5.00E-05,0.00012,0.0003
0.00021,0.00012,0.00054
0.00013,0.00012,0.00054
0.00018,0.00049,0.00025
0.00023,0.00048,0
0.00011,0.00032,5.00E-05
0.00012,2.00E-05,1.80E-04
0.00021,0.00012,5.00E-05
0.00021,5.00E-05,7.00E-05
1.00E-04,0.00032,0.0002
0.00013,0.00025,0.00014
1.00E-04,0.00019,9.00E-05
3.00E-05,0.00013,0.00028
0.00015,0.00013,0.00014
0.00012,0.00026,0.00026
