Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
0.0009,0.00011,0.00041,0.00011,0.00059,0.00032
0.00102,0.00015,6.00E-05,0.0003,1.00E-05,0.00037
0.00028,0.0002,0.00045,0.00014,0.0004,0.0002
0.00042,9.00E-05,6.00E-05,0.00038,0.00095,0.00039
0.00043,0.00048,0.00055,0.00046,0.00036,0.00077
0.00022,0.00025,0.00027,0.00063,0.00016,0.00141
0.00033,0.00021,0.00034,0.00013,0.00034,0.00016
0.00012,0.00031,0.00056,0.00056,0.00016,0.00049
0.00092,0.00065,0.0005,0.00037,0.00042,0.00119
0.00053,0.00079,0.00168,0.00041,0.00041,1.00E-04
0.00063,0.00012,0.00028,4.00E-05,0.0002,0.00021
0.00019,0.00026,0.00104,0.00012,0.00096,0.00018
0.00031,0.00012,0.00069,0.00012,0.00077,0.00048
0.00038,0.00015,0.00039,0.00021,0.00065,0.00018
0.00059,0.0005,0.00032,5.00E-05,0.00049,0.00019
0.00088,0.00032,0.00013,0.00041,0.00025,0.00042
0.00044,0.00027,0.00029,0.00046,0.00041,0.00036
0.00063,6.00E-05,0.0003,6.00E-05,0.00052,0.00047
0.00065,8.00E-05,1.00E-05,0.00024,0.00042,0.00033
0.00046,0.00047,6.00E-05,0.00037,0.00046,0.00026
0,0.00054,6.00E-05,0.00062,0.00049,0.00044
0.00021,0.00186,5.00E-05,0.00027,0.00039,0.0007
3.00E-05,0.00174,0.00022,0.0002,8.00E-05,0.00034
2.00E-05,1.00E-05,6.00E-05,0.00015,0.0002,0.00038
5.00E-05,0.00011,0.00037,0.00078,0.00015,0.00027
9.00E-05,0.00027,0.00075,0.00046,0.00049,0.00012
5.00E-05,0.00059,0.00034,0.00015,0.00018,0.00021
5.00E-05,1.00E-05,0.00016,0.00022,1.00E-04,0.00022
1.00E-04,0.0004,0.00032,0.00033,4.00E-05,1.00E-04
0.00015,0.0004,8.00E-05,0.00018,0.00018,None
0.00052,0.00095,5.00E-05,0.00018,0.00016,None
0.00024,0.00036,0.00032,0.00011,0.00042,None
0.00025,0.00016,0.00011,0.00032,8.00E-05,None
0.00012,0.00034,0.00037,0.00015,0.00027,None
0.00014,0.00016,0.0002,0.00014,0.00068,None
0.00068,0.00042,0.00039,0.00088,0.00044,None
4.00E-05,0.00041,0.00077,0.00065,2.00E-05,None
0.00031,0.0002,0.00141,0.00012,0.00016,None
0.00056,0.00096,0.00016,7.00E-05,0.00053,0.00014
0.00044,0.00077,0.00049,0.00061,0.00015,2.00E-05
6.00E-05,0.00065,0.00119,0.00028,9.00E-05,0.00032
1.00E-04,0.00049,1.00E-04,0.00028,0.00012,1.00E-05
0.00031,0.00025,0.00021,0.00015,0.00034,4.00E-05
0.0006,0.00041,0.00018,0.00016,0.00023,0.00013
0.00018,0.00052,0.00048,0.00014,4.00E-05,0.00047
6.00E-05,0.00042,0.00018,0.00052,0,0.00013
0.00028,0.00046,0.00019,0.00057,8.00E-05,0.00018
0.00034,0.00049,0.00042,0.00027,None,4.00E-05
0.00022,0.00039,0.00036,None,None,0.00023
0.0006,8.00E-05,0.00047,None,None,9.00E-05
0.00016,0.0002,0.00033,None,None,0.0003
0.00011,0.00015,0.00026,None,None,0.00019
0.0003,0.00049,0.00026,None,None,0.00024
0.00014,0.00018,0.00044,None,None,0.00031
0.00025,1.00E-04,0.0007,None,None,0.0005
0.00038,4.00E-05,0.00034,None,None,1.00E-04
0.00067,0.00018,0,None,None,0.00171
0.00046,0.00016,0.00038,2.00E-05,None,0.00018
0.00063,0.00042,0.00027,6.00E-05,None,0.00047
0.00013,8.00E-05,0.00012,0.00019,None,1.00E-05
0.00056,0.00027,0.00021,0.00024,None,0.00032
0.00037,0.00068,0.00013,0,None,0.00011
0.00041,0.00044,0.00022,0.00018,None,0.00012
4.00E-05,2.00E-05,1.00E-04,0.00013,None,0.00016
0.00012,0.00016,None,7.00E-05,None,0.00031
0.00012,0.00053,None,0.00036,0.00026,6.00E-05
0.00021,0.00015,None,0.00075,9.00E-05,0.00053
5.00E-05,9.00E-05,None,0.0004,0.00041,0.0002
0.00041,0.00012,None,0.00012,2.00E-05,0.00195
0.00017,0.00033,None,0.00046,6.00E-05,0.00188
0.00046,0.00034,None,0.00025,1.00E-05,0.00043
6.00E-05,0.00023,None,0.00029,0.00029,0.00027
0.00024,4.00E-05,None,0.00053,0.00032,0.00065
0.00037,0,None,0.0002,0.00024,0.00044
0.00062,8.00E-05,None,8.00E-05,0.00028,0.00027
0.00027,None,None,0.00015,0.00039,1.00E-04
0.0002,None,None,4.00E-05,0.00094,0.00013
0.00015,None,None,0.00074,0.00021,0.00033
0.00021,None,0.00014,0.00058,0.00056,1.00E-04
0.00014,None,2.00E-05,0.00078,0.00012,0.00024
0.00078,None,0.00032,0.00039,0.00018,0.00011
0.00031,None,1.00E-05,0.00039,0.00014,8.00E-05
0.00031,None,4.00E-05,4.00E-05,0.00021,0.00095
0.00046,None,0.00013,0.00026,0.00013,0.00032
0.00049,None,0.00047,0.00039,0.00017,0.00042
0.00015,None,0.00013,0.00029,3.00E-05,0.00145
0.00022,None,0.00032,0.00019,6.00E-05,0.00022
0.00101,None,0.00018,0.00012,1.00E-05,0
1.00E-04,None,4.00E-05,0.00023,9.00E-05,0.00087
0.00033,None,0.00023,4.00E-05,1.00E-04,4.00E-05
0.00018,None,9.00E-05,7.00E-05,0.00015,1.00E-05
0.00018,None,0.0003,0,0.00021,9.00E-05
0.00011,None,0.00058,1.00E-05,0.00011,0.00021
0.00032,None,0.00019,0.00011,0.00037,0.00032
0.00015,None,0.00024,0.00014,0.0004,0.00026
0.00014,None,0.00104,0.00017,0.0005,0.00049
0.00088,None,0.00031,0.00016,0.00041,0.00059
0.00065,None,0.00019,0.00017,0.00041,0.00021
0.00012,0.00026,0.0005,0.00014,0.00012,0.00024
7.00E-05,9.00E-05,0.0005,7.00E-05,2.00E-05,1.00E-04
0.00061,0.00041,1.00E-04,0.00028,0.00023,7.00E-05
0.00028,2.00E-05,0.00171,0.00011,0.00046,6.00E-05
0.00028,6.00E-05,0.00016,0.00027,0.00031,0.00027
0.00015,1.00E-05,0.00022,0.00038,0.00022,0.00012
0.00016,0.00029,0.00018,1.00E-04,0.00024,0.00012
0.00014,0.00032,0.00012,0.00034,4.00E-05,0.00057
0.00052,0.00024,0.00047,0.0003,4.00E-05,0.00039
0.00057,0.00028,1.00E-05,8.00E-05,0.00011,0.00019
0.00027,1.00E-04,0.00032,0.00011,5.00E-05,0.00018
0.00027,0.00039,0.00011,0.00015,5.00E-05,3.00E-05
None,0.00094,0.00012,0.00016,0.00015,0.00047
None,0.00021,0.00016,0.00043,0.00049,0.00033
None,0.00056,0.00031,0.00061,9.00E-05,0.00016
None,0.00012,0.00018,0.00031,0,0.0004
None,0.00018,6.00E-05,0.00041,0.00024,0.00031
None,0.00014,0.00053,0.00015,0.00012,1.00E-05
None,0.00021,0.0002,0.00017,0.00039,0.00017
None,0.00013,0.00195,0.00072,6.00E-05,0.00045
None,0.00013,0.00188,0.00044,2.00E-05,0.00021
None,0.00017,0.00036,0.00023,0.00024,7.00E-05
None,3.00E-05,0.0002,5.00E-05,0.00023,0.00011
None,6.00E-05,4.00E-05,0.00013,0.00025,1.00E-04
2.00E-05,1.00E-05,0.00043,0.00078,0.00017,0.00065
6.00E-05,9.00E-05,0.00042,0.00028,0.00092,0.00088
0.00019,1.00E-04,0.00027,0.00014,0.00032,0.00016
0.00024,0.00015,0.00065,0.00012,0.00011,0.00035
0,0.00021,0.00044,0.00014,0.00022,0.0002
