20181101 031500;1.135650;1.135920;1.135600;1.135860;0
20181101 031600;1.135920;1.135930;1.135650;1.135820;0
20181101 031700;1.135830;1.135930;1.135790;1.135890;0
20181101 031800;1.135880;1.135890;1.135530;1.135580;0
20181101 031900;1.135570;1.135620;1.135390;1.135570;0
20181101 032000;1.135580;1.135980;1.135560;1.135960;0
20181101 032100;1.136030;1.136230;1.135820;1.135930;0
20181101 032200;1.135940;1.136050;1.135820;1.135870;0
20181101 032300;1.135880;1.135970;1.135770;1.135780;0
20181101 032400;1.135770;1.135970;1.135770;1.135920;0
20181101 032500;1.135910;1.135990;1.135760;1.135970;0
20181101 032600;1.135960;1.136260;1.135960;1.136130;0
20181101 032700;1.136140;1.136340;1.136110;1.136120;0
20181101 032800;1.136130;1.136490;1.136060;1.136090;0
20181101 032900;1.136100;1.136490;1.136100;1.136270;0
20181101 033000;1.136260;1.136460;1.136170;1.136340;0
20181101 033100;1.136350;1.136360;1.136210;1.136300;0
20181101 033200;1.136280;1.136340;1.136190;1.136190;0
20181101 033300;1.136180;1.136200;1.135860;1.135860;0
20181101 033400;1.135850;1.136020;1.135760;1.135870;0
20181101 033500;1.135880;1.136030;1.135850;1.136030;0
20181101 033600;1.136020;1.136090;1.135910;1.135920;0
20181101 033700;1.135910;1.136070;1.135850;1.135950;0
20181101 033800;1.135910;1.135930;1.135820;1.135880;0
20181101 033900;1.135890;1.135890;1.135670;1.135850;0
20181101 034000;1.135840;1.135930;1.135720;1.135730;0
20181101 034100;1.135720;1.135720;1.135600;1.135620;0
20181101 034200;1.135610;1.135610;1.135300;1.135310;0
20181101 034300;1.135310;1.135390;1.135240;1.135380;0
20181101 034400;1.135390;1.135580;1.135390;1.135490;0
20181101 034500;1.135480;1.135590;1.135480;1.135500;0
20181101 034600;1.135500;1.135520;1.135370;1.135470;0
20181101 034700;1.135460;1.135530;1.135420;1.135460;0
20181101 034800;1.135480;1.135530;1.135450;1.135480;0
20181101 034900;1.135490;1.135680;1.135410;1.135670;0
20181101 035000;1.135680;1.135760;1.135590;1.135680;0
20181101 035100;1.135690;1.135730;1.135680;1.135690;0
20181101 035200;1.135680;1.135820;1.135640;1.135820;0
20181101 035300;1.135830;1.135890;1.135770;1.135850;0
20181101 035400;1.135850;1.135860;1.135620;1.135780;0
20181101 035500;1.135800;1.135900;1.135770;1.135780;0
20181101 035600;1.135790;1.136000;1.135710;1.135960;0
20181101 035700;1.135950;1.136020;1.135770;1.135770;0
20181101 035800;1.135780;1.135830;1.135720;1.135740;0
20181101 035900;1.135740;1.136050;1.135740;1.136050;0
20181101 040000;1.136060;1.136060;1.135760;1.135770;0
20181101 040100;1.135770;1.135770;1.135370;1.135420;0
20181101 040200;1.135440;1.135590;1.135280;1.135360;0
20181101 040300;1.135360;1.135580;1.135330;1.135530;0
20181101 040400;1.135530;1.135670;1.135480;1.135670;0
20181101 040500;1.135700;1.135720;1.135500;1.135670;0
20181101 040600;1.135680;1.136040;1.135680;1.136040;0
20181101 040700;1.136040;1.136060;1.135880;1.135890;0
20181101 040800;1.135900;1.136090;1.135890;1.136090;0
20181101 040900;1.136080;1.136360;1.136020;1.136350;0
