SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-21 16:27:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:27:00,6746220
USD/JPY,"2018-11-21 16:28:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:28:00,6746227
USD/JPY,"2018-11-21 16:29:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:29:00,6746234
USD/JPY,"2018-11-21 16:30:16",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:30:16,6746241
USD/JPY,"2018-11-21 16:31:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:31:06,6746248
USD/JPY,"2018-11-21 16:32:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:32:04,6746255
USD/JPY,"2018-11-21 16:33:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:33:00,6746262
USD/JPY,"2018-11-21 16:34:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:34:00,6746269
USD/JPY,"2018-11-21 16:35:08",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:35:08,6746276
USD/JPY,"2018-11-21 16:36:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:36:00,6746283
USD/JPY,"2018-11-21 16:37:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:37:00,6746290
USD/JPY,"2018-11-21 16:38:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:38:00,6746297
USD/JPY,"2018-11-21 16:39:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:39:00,6746304
USD/JPY,"2018-11-21 16:40:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:40:07,6746311
USD/JPY,"2018-11-21 16:41:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:41:00,6746318
USD/JPY,"2018-11-21 16:42:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:42:00,6746325
USD/JPY,"2018-11-21 16:43:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:43:00,6746332
USD/JPY,"2018-11-21 16:44:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:44:00,6746339
USD/JPY,"2018-11-21 16:45:24",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,16:45:24,6746346
